Номер	Год	Завод	ID детали
39314	2010	5	1485301
316286	1984	29	616300448
40128	2021	12	616335997
40058	2021	12	616335974
81070	1977	29	614388559
124332	2009	5	615089625
30608	2010	1175	1653988
9508	1994	14	613700251
50023	2020	1487	614698640
50097	2019	1487	614912717
50163	2019	1487	614966969
634764	1985	29	615392252
61266	1983	39	615493560
693291	2008	29	615654928
23327	1993	5	615710846
51181	2003	29	615909048
40074	2021	12	616307441
920920	1987	29	616347381
42890	2006	39	616574565
28393	2008	39	616590655
11749	1974	5	616600204
46973	2012	1175	616632441
933734	1983	29	616667798
24250	2004	5	616797616
234261	2011	5	616827108
718182	2017	5	616830812
43884	1996	39	616841655
106941	2013	1175	616989758
645	2012	60	617030880
14061	2019	2002	617040126
22078	1987	186	1150188
9153	2004	33	1214009
49915	2004	33	1214032
28117	2003	1175	1275300
11656	2007	12	1317401
43300	2009	39	1335168
10171	2008	6735	613848085
89940	1971	5	614890762
50201	2019	1487	614912674
50099	2019	1487	614930012
50046	2020	1487	614954108
50179	2020	1487	614954131
153775	2010	5	615285809
33123	1987	29	615411923
72973	1976	6712	615694261
11949	2006	39	615857601
113768	2006	5	615901571
377929	1990	39	616052849
431931	1985	29	616135760
69302	1981	39	616241456
476327	1985	29	616261871
113866	2007	5	616289210
18104	1973	5	616289751
32128	1990	5	616388085
7750	1992	5	616396870
276258	1988	29	616520728
4852	2021	1557	616547429
17382	2003	39	616570240
3126	2005	1175	616582334
517717	1981	39	616586679
729161	1996	29	616619288
13923	2011	39	616625474
16689	2007	5	616662282
970713	2002	29	616667429
14479	2005	5	616674937
36823	2001	39	616685073
134895	1987	5	616704303
658702	1990	29	616753331
400476	2021	12	616761798
326655	1988	29	616817221
428550	2013	29	616897842
10126	1990	119	616942210
3837	2005	60	616981686
572165	2021	5	616989612
34162	2010	39	616990491
574478	2021	5	616993193
929581	2010	29	617009094
665620	2008	29	617019622
271697	1998	39	613351670
47328	1986	5	614339468
50063	2020	1487	614698637
50125	2020	1487	614698660
106711	2011	1175	614891346
50322	2019	1487	614912694
50166	2019	1487	614912720
50132	2019	1487	614930032
50155	2019	1487	614939899
50193	2019	1487	614943288
310627	1980	6711	614968887
26140	1975	93	615490437
90355	1970	5	615514642
31264	1990	5	615697962
68402	2003	29	615709718
10052	1988	5	615710657
938881	1991	29	615714902
54959	1991	29	615717255
73004	2005	1175	615740003
299077	2008	5	615740063
15074	1980	39	615926918
66166	1976	6712	616243205
760979	1986	29	616254483
19903	1978	5	616273189
17645	1987	5	616276209
325483	1992	29	616279180
203221	1988	5	616289800
40065	2021	12	616335977
40124	2021	12	616335994
40059	2021	12	616404278
125282	1976	5	616419048
208023	1986	5	616481464
14734	1977	29	616513054
31972	2005	29	616538547
19145	2004	5	616559400
287792	2011	5	616585497
290298	1981	5	616590366
79244	1969	5	616608242
16889	1990	39	616628491
11601	1990	5	616631219
729738	1982	29	616636938
53048	1993	39	616654110
853572	1986	29	616659875
400	1993	60	616660347
15185	1985	39	616682597
185013	2004	29	616698412
37743	2021	1422	616703931
65491	1991	5	616704701
798454	1990	29	616766069
3136	2007	1175	616766338
642915	1985	29	616829581
957477	2010	29	616843713
76441	1982	5	616875512
237972	2021	5	616878984
120777	2021	5	616906870
619479	1985	39	616912967
293218	1992	29	616936714
402469	2021	12	616943647
134	2021	1275	616943684
385	2021	1275	616943704
23186	2005	5	616953651
86439	1991	29	616956027
569006	2021	5	616989615
568720	2021	5	616989638
574602	2021	5	616989824
17048	2004	39	617001663
27788	2005	39	617003306
4316	2004	1216	617037332
3705	1993	60	617054524
10378	2009	1175	929384
294970	1980	39	1138326
50381	1979	29	1315526
53881	1991	5	1315675
477218	1993	29	1326266
239744	2008	5	1336187
529582	1989	29	1383054
209224	2011	5	1708698
307992	1980	29	613704413
277905	1995	5	613960837
801	1971	93	614042566
2518	1982	9	614146158
25174	2006	1175	614185989
9708	2006	1175	614201140
670740	1989	29	614367477
1454	1979	39	614387912
50059	2020	1487	614698634
50171	2020	1487	614698657
50206	2019	1487	614912677
50333	2019	1487	614912697
50302	2019	1487	614912734
50307	2019	1487	614912737
50319	2019	1487	614912740
50223	2019	1487	614912757
50315	2019	1487	614912800
50133	2019	1487	614912803
50301	2019	1487	614929863
50183	2019	1487	614929883
50081	2019	1487	614930009
50089	2019	1487	614939893
50110	2019	1487	614939896
50109	2019	1487	614939916
50082	2019	1487	614943291
50202	2019	1487	614943743
50178	2019	1487	614943746
50324	2019	1487	614943749
50032	2019	1487	614943766
50053	2020	1487	614954111
50118	2020	1487	614954154
50070	2020	1487	614954171
55787	1998	5	615260900
43120	2005	39	615484366
18474	1989	39	615632346
136073	1984	29	615632787
209895	2005	29	615648562
226677	1983	5	615710245
149356	1982	5	615717653
53114	2007	39	615739024
641551	1981	29	615840057
308656	2012	29	615931541
9700	1985	119	616028000
114381	1977	186	616076593
138035	2012	5	616103580
253957	1985	39	616125077
563511	1981	29	616135737
39785	1991	29	616234526
727931	2017	5	616251314
4348	1990	5	616261742
45354	2004	5	616261782
4961	1993	5	616279409
417782	1987	39	616303531
40084	2021	12	616307444
40101	2021	12	616307447
18851	1976	29	616382801
901918	1986	29	616389004
20995	1991	29	616391311
40166	2021	12	616404295
234126	1981	5	616414308
77506	1979	29	616425961
584358	1987	29	616444461
529965	2021	5	616523316
43924	1978	29	616532470
86481	1973	6711	616541146
114642	2021	5	616547412
22600	2021	1226	616550701
22569	1993	5	616559998
273189	2006	5	616561395
918360	2010	29	616565142
5752	2010	1164	616565351
71913	1989	5	616581226
185550	2010	5	616582666
48422	1976	29	616586596
146012	1987	5	616591256
20507	2002	1175	616595979
403106	1988	29	616608239
25350	1976	186	616608342
2966	2019	2002	616613981
69664	1979	39	616624847
539433	1993	29	616631233
140103	2012	5	616637001
18157	2004	5	616637087
80291	2005	5	616644180
23930	1987	186	616644990
31787	1977	29	616644993
28843	2006	39	616651087
35967	2004	5	616651568
109995	2011	29	616655272
16199	2011	29	616655275
24635	2004	5	616657516
598907	1989	29	616671591
50312	1991	29	616688153
3743	2010	1175	616688691
37441	2021	1422	616703928
24723	1974	5	616708213
274507	1988	29	616708734
359992	1981	29	616715060
423132	1980	29	616720974
990555	2011	29	616727881
60105	2007	60	616734917
27792	1989	5	616735017
16116	1988	186	616749587
148277	2010	5	616752850
128253	2012	5	616752853
266307	2012	29	616753311
24661	1966	93	616755555
64460	2011	29	616758054
400655	2021	12	616761801
400561	2021	12	616761804
401528	2021	12	616761824
401900	2021	12	616761847
51125	2011	39	616766023
720979	1996	29	616766633
341951	1984	29	616766836
5834	2007	5	616771791
418400	1984	39	616775807
977836	1991	29	616778807
18214	1986	5	616779889
32467	2003	29	616788665
17313	1992	5	616791330
35519	1988	5	616807374
7374	1972	93	616811247
39453	1981	39	616811250
69472	1978	5	616839860
912279	1986	29	616844022
13150	2006	1175	616851041
27820	1992	5	616851164
10393	1982	186	616855678
545751	2021	5	616863169
59688	1984	5	616875509
13564	1995	5	616876362
240225	2021	5	616878964
241689	2021	5	616878990
7916	2013	1164	616887703
72173	1977	29	616889853
826282	1990	186	616893239
6544	2008	39	616895117
902319	1983	29	616897782
511020	1979	39	616897822
15130	2010	1164	616911101
71672	2008	5	616931301
28696	1994	5	616936863
